,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
43,"Introduction to Web
Development with
HTML5, CSS3, and J…",IBM,https://www.edx.org/learn/web-development/ibm-introduction-to-web-development-with-html5-css3-and-javascript?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=20&results_level=second-level-results&term=&objectID=course-ae17a348-78ed-496e-a0b7-a1c7098a3ad0&campaign=Introduction+to+Web+Development+with+HTML5%2C+CSS3%2C+and+JavaScript.&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,2–4 hours per week,Starts Jul 27,140243,Self-paced,£38,Computer Science
44,"CS50's Introduction to
Programming with
Scratch",Harvard University,https://www.edx.org/learn/scratch-programming/harvard-university-cs50-s-introduction-to-programming-with-scratch?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=21&results_level=second-level-results&term=&objectID=course-8290161d-6419-41c6-87a8-b0fa61b8bb86&campaign=CS50%27s+Introduction+to+Programming+with+Scratch&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–6 hours per week,Starts Jul 27,189214,Self-paced,£0,Computer Science
45,Managing Happiness,Harvard University,https://www.edx.org/learn/happiness/harvard-university-managing-happiness?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=22&results_level=second-level-results&term=&objectID=course-56feae4a-7386-4499-8f1d-cf4b17c6cc87&campaign=Managing+Happiness&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 27,146623,Self-paced,£170,Social Sciences
46,"Introduction to
Kubernetes",The Linux Foundation,https://www.edx.org/learn/kubernetes/the-linux-foundation-introduction-to-kubernetes?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=23&results_level=second-level-results&term=&objectID=course-8566d539-69cb-43a5-94c2-000502df1a92&campaign=Introduction+to+Kubernetes&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,2–3 hours per week,Starts Jul 27,365408,Self-paced,£147,Computer Science
47,"TOEFL iBT Test
Preparation: The
Insider’s Guide",Educational Testing Service,https://www.edx.org/learn/test-prep/educational-testing-service-toefl-r-test-preparation-the-insiders-guide?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=24&results_level=second-level-results&term=&objectID=course-ee4f4f12-e6ec-45ac-94df-b90b4b022903&campaign=TOEFL+iBT+Test+Preparation%3A+The+Insider%E2%80%99s+Guide&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–4 hours per week,Starts Jul 27,1533928,Self-paced,£47,Communication
48,"CS50's Computer
Science for Business
Professionals",Harvard University,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-computer-science-for-business-professionals?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=1&results_level=second-level-results&term=&objectID=course-0c675c29-54ee-42ff-ac95-01f53450bc8b&campaign=CS50%27s+Computer+Science+for+Business+Professionals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–6 hours per week,Starts Jul 27,213129,Self-paced,£0,Computer Science
49,"Contract Law: From
Trust to Promise to
Contract",Harvard University,https://www.edx.org/learn/business-law/harvard-university-contract-law-from-trust-to-promise-to-contract?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=2&results_level=second-level-results&term=&objectID=course-5f1d3726-e78b-41f9-8e71-b904fddd102e&campaign=Contract+Law%3A+From+Trust+to+Promise+to+Contract&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,3–6 hours per week,Starts Jul 27,590508,Self-paced,£232,Business & Management
50,"Italian Language and
Culture: Beginner
(2023-2024)",Wellesley College,https://www.edx.org/learn/italian/wellesley-college-italian-language-and-culture-beginner-2023-2024?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=3&results_level=second-level-results&term=&objectID=course-1e170500-f525-46c1-b8b9-c893cf6910d3&campaign=Italian+Language+and+Culture%3A+Beginner+%282023-2024%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,2–5 hours per week,Starts Jul 27,371917,Self-paced,£46,Language
51,"Entrepreneurship in
Emerging Economies",Harvard University,https://www.edx.org/learn/entrepreneurship/harvard-university-entrepreneurship-in-emerging-economies?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=4&results_level=second-level-results&term=&objectID=course-387c5b5b-ef7f-43b9-b9b5-4163f3c74a49&campaign=Entrepreneurship+in+Emerging+Economies&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–5 hours per week,Starts Jul 27,832185,Self-paced,£193,Business & Management
52,"Data Analytics Basics
for Everyone",IBM,https://www.edx.org/learn/data-analysis/ibm-data-analytics-basics-for-everyone?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=5&results_level=second-level-results&term=&objectID=course-5c90d49e-e57d-4789-a729-334980458fe0&campaign=Data+Analytics+Basics+for+Everyone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 27,167457,Self-paced,£77,Data Analysis & Statistics
